Time, Username, Tweet, Replies, Retweets, Likes, Language, urlStatus
"Oct,20",@Mzlyn345,"Yea you out and stunting, in ya bregin pants ",7,0,27,,https://twitter.com/Mzlyn345/status/1185956844067536896
"Oct,20",@GirlsWhoCode,"Only 10% of women in Canada work in cybersecurity. 

Stereotypes, lack of representation, and toxic bro-culture keep women out of tech... it's not just hindering our girls' potential, we're stunting economic growth and putting our security at risk. 

https://www.cbc.ca/news/business/women-in-cybersecurity-1.5321005 …",3,29,65,,https://twitter.com/GirlsWhoCode/status/1185913558686666752
"Oct,18",@1000Days," Food is joy.
 Food is survival.
 Food is life.

Yet, globally, millions of children are held back by #stunting, wasting or overweight because they lack nutritious foods. We're with @UNICEF: it’s time to end #malnutrition in all its forms.pic.twitter.com/tVrkg3MxSo",3,29,47,,https://twitter.com/1000Days/status/1185331733178269696
"Oct,21",@UNICEF," Big smiles for a brighter future.

Alimatou has just received micronutrient powder to help her recover from stunting in Mali. In countries where stunting is common, every $1 invested to prevent the condition can generate $18 of economic benefits in return. pic.twitter.com/HsG8NSLvkZ",4,64,347,,https://twitter.com/UNICEF/status/1186194201828118534
"Oct,21",@utdrobbo,"#MUFC’s reluctant use of loans is stunting player development.

Pep Segura on La Masia: “10% of [academy] players should come to the first team, 40% should be lent & the rest should be released to make room for new players. Hard decisions must be made to not stagnate the system.” pic.twitter.com/cGtcAHetWQ",5,23,137,,https://twitter.com/utdrobbo/status/1186237720894590977
6h6 hours ago,@MalachiteTiger,"Might I interest you in stunting on the chuds by supporting my nonbinary self in writing RPG stuff heavily featuring the orientations, genders, and backgrounds deemed ""political"" by gamergaters, and all sorts of horny stuff of the sort PJW thinks will end western civilization? ",5,9,30,,https://twitter.com/MalachiteTiger/status/1186836845470072832
23h23 hours ago,@Clan_Clueless,"It’s really sad how black men make money and instead dedicate it to flexing & stunting. 

*makes 1 dollar, next stop: IG with designer wears & on a private plane*

Just take a moment and compare.",2,24,23,,https://twitter.com/Clan_Clueless/status/1186584503772504064
"Oct,17",@samwhiteout,It's not stunting if it's the norm  pic.twitter.com/9UQUUnTtFK,10,22,657,,https://twitter.com/samwhiteout/status/1184981101539975168
"Oct,19",@jace_welter,My niece is stunting in her new fit pic.twitter.com/3YvOOdMzmP,1,7,205,,https://twitter.com/jace_welter/status/1185620106950381579
"Oct,21",@Emiliaofstark,"Stunting looks 
Looking pretty
She’s the bitch from New York City pic.twitter.com/6WiZ734ic4",0,8,57,,https://twitter.com/Emiliaofstark/status/1186365865262026752
"Oct,21",@Purify_toast17,The fix was voting for Hillary in 2016 but stunting for a blue chek was more important pic.twitter.com/eUYUGPCIo2,3,10,25,,https://twitter.com/Purify_toast17/status/1186351561292894211
"Oct,09",@nedryun,"""What’s really been really done over the years at these indoctrination centers is a collective stunting of mental acumen. . . What’s resulted is a world of idiocracy posing as an elite, one detached from reality and common sense."" https://amgreatness.com/2019/10/08/there-is-no-middle-ground-with-todays-democrats-or-the-deep-state/ … #MAGA #tcot",12,187,323,,https://twitter.com/nedryun/status/1181949438018887689
"Oct,15",@GHGGuru,"If you want to show your students an example of an inverse relationship, show this graph of meat versus stunting. https://twitter.com/fleroy1974/status/1184084747573698560 …",11,84,202,,https://twitter.com/GHGGuru/status/1184090508194275329
"Oct,21",@evandiloreto,I’ve gotten a little better at this whole coed stunting thing lately and I’m kinda proud pic.twitter.com/vmJyvJh164,5,12,475,,https://twitter.com/evandiloreto/status/1186446658395095041
15h15 hours ago,@beenthatgirltoo,"I come across a lot of women who find it hard to move on because they’re worried about what he’s doing or who he’s moving on to.
I was that girl too.
What made me stop was realizing that I was only hurting myself & stunting my healing & growth. 
I had to realize he wasn’t a loss.",0,3,4,,https://twitter.com/beenthatgirltoo/status/1186711876111130624
20h20 hours ago,@saucelessprick,How are you out here stunting when you owe me £300 https://twitter.com/najib____rahman/status/1186437411863191552 …,2,5,36,,https://twitter.com/saucelessprick/status/1186634720706252805
7h7 hours ago,@AyooLEEEEISH,I’m stunting on 30 b deadass pic.twitter.com/oDWswGVsDZ,1,2,4,,https://twitter.com/AyooLEEEEISH/status/1186836021905887232
11h11 hours ago,@Tempah73256148,Award settings out and stunting. pic.twitter.com/YVtPmT9WNg,0,0,0,,https://twitter.com/Tempah73256148/status/1186770694065000448
12h12 hours ago,@skilled_life,"Alexa, play “Stunting Ain’t Nuthin” by Gucci Mane   pic.twitter.com/JF7HsJRqrd",0,3,60,,https://twitter.com/skilled_life/status/1186755270107631617
14h14 hours ago,@95TEEZ,wayament..... he cannot be stunting like this when it is uncalled for he simply just cannot pic.twitter.com/L95EkHmK2T,0,2,20,,https://twitter.com/95TEEZ/status/1186719563318214658
18h18 hours ago,@VortexPussy,"Shorty be stunting on you hoes. 
Pc: me
Model: Elyonna Moné pic.twitter.com/bJEeectuXa",0,1,3,,https://twitter.com/VortexPussy/status/1186662570155036679
"Oct,21",@dixonalshaun,LIKE FATHER LIKE SON...THATS ME AT 5 YEARS OLD...STUNTING LIKE MY DADDY!  pic.twitter.com/MkU2ptdYLj,0,1,1,,https://twitter.com/dixonalshaun/status/1186435245945417728
"Oct,21",@BHSCoachTiffany,So proud of these ladies for their efforts with stunting today. The work is worth it!  pic.twitter.com/Be41Pl9Lrd,0,1,2,,https://twitter.com/BHSCoachTiffany/status/1186431099800559617
"Oct,21",@maiasnicole,can y'all believe how lucky we got to see alisha stunting on us like this? pic.twitter.com/fAhuS3ulKM,1,7,18,,https://twitter.com/maiasnicole/status/1186399902424809474
"Oct,21",@SnowPig12,Stunting pic.twitter.com/EleI7Z56Pq,0,0,6,,https://twitter.com/SnowPig12/status/1186265690971475969
"Oct,20",@CadeMurphy,Steady stunting ON U LAME BITCHES pic.twitter.com/lQn6B5o0xl,1,0,16,,https://twitter.com/CadeMurphy/status/1186098223800340480
"Oct,20",@reitu_nakumba,"Hon. Minister Katambo, thank you for responding to messages from Global Citizens and committing to reduce stunting in Zambia by 2030! @mohzambia, will you join Min. Katambo in working to reduce stunting by increasing the budget for nutrition?",0,0,0,,https://twitter.com/reitu_nakumba/status/1186025959025205254
"Oct,19",@TashaFierse,2/2 I need to stop stunting out here  pic.twitter.com/RM6yypDYhj,0,1,6,,https://twitter.com/TashaFierse/status/1185789366343520256
"Oct,19",@rip_nev,betty boop could never (jk she always stays stunting on everyone ... the original IT girl) pic.twitter.com/gCPz98rys2,0,1,8,,https://twitter.com/rip_nev/status/1185598237790687232
"Oct,19",@WeareVRCheer,Stunting + Sunset = Perfect FNL pic.twitter.com/YMCzCotqx8,0,0,6,,https://twitter.com/WeareVRCheer/status/1185548059025072129
"Oct,18",@Lemon24_2x,Roscoe’s about to be stunting on all u hoes ... pic.twitter.com/EMMpYXRSHl,0,0,10,,https://twitter.com/Lemon24_2x/status/1185327736551890950
"Oct,18",@RailaOdingake,"Stunting at a mechanical engineering class, Magdeburg in Germany pic.twitter.com/wff9CsXfRW",1,0,1,,https://twitter.com/RailaOdingake/status/1185259658967162880
"Oct,17",@Justalittlelynn,Babygirl came through Stunting today pic.twitter.com/wlsGIxriJ5,0,0,4,,https://twitter.com/Justalittlelynn/status/1184991791466070017
"Oct,17",@contrapuntaI,She said: Stunting pic.twitter.com/gejzN5iu6L,0,1,23,,https://twitter.com/contrapuntaI/status/1184783556775743488
"Oct,16",@Samantha_Mazo,Guess I gotta start Pussy Stunting  pic.twitter.com/dgUvuRKzm5,0,0,7,,https://twitter.com/Samantha_Mazo/status/1184605358737809408
"Oct,16",@1975cheIs,stunting in the womb pic.twitter.com/26UG9rdfw4,0,0,57,,https://twitter.com/1975cheIs/status/1184536288273285120
"Oct,15",@greatmaddie13,14 year old me stunting on 2013 Fashion vs 21 year old me pic.twitter.com/75HoD0yohu,0,0,21,,https://twitter.com/greatmaddie13/status/1184355651490705410
"Oct,15",@luhanamk,Stunting   pic.twitter.com/U3VQvqpcMk,0,0,4,,https://twitter.com/luhanamk/status/1184020407273308160
"Oct,14",@Da_kidd_tj,just doing my own lil thing Ian stunting y’all fr  pic.twitter.com/HC9cNO67Td,0,0,6,,https://twitter.com/Da_kidd_tj/status/1183969136629686277
"Oct,14",@JacobArceneaux,Call me Evel Knievel bcuz I'm stunting on all y'all pic.twitter.com/Im0hqQGIz0,0,0,5,,https://twitter.com/JacobArceneaux/status/1183856196484247552
